date,store_id,store_name,region,product_category,product_name,units_sold,unit_price,revenue,starting_inventory,inventory_level,customer_visits,transactions,promotion_flag
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Footwear,Trail Runner Shoe,11,129,1419,161,150,245,9,False
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Base Layers,Thermal Crew Base Layer,25,69,1725,75,50,245,12,True
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Base Layers,Merino Trek Legging,14,79,1106,132,118,245,7,False
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Accessories,Summit Beanie,23,34,782,176,153,245,10,False
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Accessories,Trail Gloves,37,44,1628,172,135,245,18,True
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Accessories,Insulated Bottle,21,29,609,110,89,245,12,False
2025-01-01,S003,Boston Winter Gear,Northeast,Jackets,Summit Waterproof Shell,21,329,6909,102,81,340,9,True
2025-01-01,S003,Boston Winter Gear,Northeast,Jackets,Alpine Down Parka,12,399,4788,62,50,340,5,False
2025-01-01,S003,Boston Winter Gear,Northeast,Jackets,Trail Rain Jacket,20,189,3780,85,65,340,15,False
2025-01-01,S003,Boston Winter Gear,Northeast,Fleece,Canyon Fleece Pullover,28,89,2492,170,142,340,12,False
2025-01-01,S003,Boston Winter Gear,Northeast,Fleece,Mountain Zip Hoodie,23,119,2737,63,40,340,10,False
2025-01-01,S003,Boston Winter Gear,Northeast,Backpacks,Boreal Daypack 28L,17,99,1683,113,96,340,12,False
2025-01-01,S003,Boston Winter Gear,Northeast,Backpacks,Expedition Duffel 60L,10,149,1490,55,45,340,8,False
2025-01-01,S003,Boston Winter Gear,Northeast,Footwear,Ridge Hiking Boot,8,159,1272,171,163,340,3,False
2025-01-01,S003,Boston Winter Gear,Northeast,Footwear,Trail Runner Shoe,19,129,2451,175,156,340,14,True
2025-01-01,S003,Boston Winter Gear,Northeast,Base Layers,Thermal Crew Base Layer,31,69,2139,89,58,340,13,False
2025-01-01,S003,Boston Winter Gear,Northeast,Base Layers,Merino Trek Legging,25,79,1975,114,89,340,15,False
2025-01-01,S003,Boston Winter Gear,Northeast,Accessories,Summit Beanie,27,34,918,167,140,340,16,False
2025-01-01,S003,Boston Winter Gear,Northeast,Accessories,Trail Gloves,18,44,792,40,22,340,9,False
2025-01-01,S003,Boston Winter Gear,Northeast,Accessories,Insulated Bottle,20,29,580,53,33,340,10,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Jackets,Summit Waterproof Shell,14,329,4606,119,105,175,11,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Jackets,Alpine Down Parka,11,399,4389,89,78,175,6,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Jackets,Trail Rain Jacket,18,189,3402,156,138,175,12,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Fleece,Canyon Fleece Pullover,20,89,1780,59,39,175,16,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Fleece,Mountain Zip Hoodie,17,119,2023,154,137,175,7,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Backpacks,Boreal Daypack 28L,14,99,1386,60,46,175,11,True
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Backpacks,Expedition Duffel 60L,9,149,1341,62,53,175,6,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Footwear,Ridge Hiking Boot,9,159,1431,143,134,175,6,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Footwear,Trail Runner Shoe,15,129,1935,54,39,175,9,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Base Layers,Thermal Crew Base Layer,23,69,1587,47,24,175,12,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Base Layers,Merino Trek Legging,11,79,869,58,47,175,4,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Accessories,Summit Beanie,17,34,578,159,142,175,10,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Accessories,Trail Gloves,26,44,1144,77,51,175,16,False
2025-01-01,S004,Chicago Urban Outdoor,Midwest,Accessories,Insulated Bottle,16,29,464,151,135,175,11,False
2025-01-01,S005,San Francisco Summit,West Coast,Jackets,Summit Waterproof Shell,18,329,5922,177,159,375,9,False
2025-01-01,S005,San Francisco Summit,West Coast,Jackets,Alpine Down Parka,9,399,3591,90,81,375,3,False
2025-01-01,S005,San Francisco Summit,West Coast,Jackets,Trail Rain Jacket,17,189,3213,115,98,375,14,False
2025-01-01,S005,San Francisco Summit,West Coast,Fleece,Canyon Fleece Pullover,25,89,2225,170,145,375,19,False
2025-01-01,S005,San Francisco Summit,West Coast,Fleece,Mountain Zip Hoodie,15,119,1785,82,67,375,12,False
2025-01-01,S005,San Francisco Summit,West Coast,Backpacks,Boreal Daypack 28L,19,99,1881,138,119,375,15,True
2025-01-01,S005,San Francisco Summit,West Coast,Backpacks,Expedition Duffel 60L,7,149,1043,45,38,375,3,False
2025-01-01,S005,San Francisco Summit,West Coast,Footwear,Ridge Hiking Boot,12,159,1908,168,156,375,8,False
2025-01-01,S005,San Francisco Summit,West Coast,Footwear,Trail Runner Shoe,16,129,2064,115,99,375,11,False
2025-01-01,S005,San Francisco Summit,West Coast,Base Layers,Thermal Crew Base Layer,30,69,2070,111,81,375,18,False
2025-01-01,S005,San Francisco Summit,West Coast,Base Layers,Merino Trek Legging,26,79,2054,37,11,375,15,False
2025-01-01,S005,San Francisco Summit,West Coast,Accessories,Summit Beanie,36,34,1224,53,17,375,20,False
2025-01-01,S005,San Francisco Summit,West Coast,Accessories,Trail Gloves,18,44,792,124,106,375,8,False
2025-01-01,S005,San Francisco Summit,West Coast,Accessories,Insulated Bottle,21,29,609,75,54,375,12,False
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Jackets,Summit Waterproof Shell,16,329,5264,170,154,382,14,False
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Jackets,Alpine Down Parka,11,399,4389,61,50,382,4,False
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Jackets,Trail Rain Jacket,17,189,3213,62,45,382,8,True
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Fleece,Canyon Fleece Pullover,30,89,2670,88,58,382,15,True
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Fleece,Mountain Zip Hoodie,27,119,3213,102,75,382,15,False
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Backpacks,Boreal Daypack 28L,18,99,1782,48,30,382,14,False
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Backpacks,Expedition Duffel 60L,9,149,1341,35,26,382,5,False
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Footwear,Ridge Hiking Boot,22,159,3498,76,54,382,11,True
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Footwear,Trail Runner Shoe,15,129,1935,37,22,382,12,False
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Base Layers,Thermal Crew Base Layer,34,69,2346,73,39,382,19,False
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Base Layers,Merino Trek Legging,24,79,1896,72,48,382,14,False
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Accessories,Summit Beanie,35,34,1190,45,10,382,16,True
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Accessories,Trail Gloves,23,44,1012,61,38,382,15,False
2025-01-02,S001,Denver Outdoor Flagship,Mountain,Accessories,Insulated Bottle,33,29,957,74,41,382,14,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Jackets,Summit Waterproof Shell,18,329,5922,80,62,264,8,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Jackets,Alpine Down Parka,17,399,6783,120,103,264,8,True
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Jackets,Trail Rain Jacket,19,189,3591,98,79,264,13,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Fleece,Canyon Fleece Pullover,19,89,1691,44,25,264,8,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Fleece,Mountain Zip Hoodie,27,119,3213,152,125,264,17,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Backpacks,Boreal Daypack 28L,16,99,1584,92,76,264,14,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Backpacks,Expedition Duffel 60L,8,149,1192,52,44,264,3,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Footwear,Ridge Hiking Boot,13,159,2067,137,124,264,6,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Footwear,Trail Runner Shoe,13,129,1677,42,29,264,10,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Base Layers,Thermal Crew Base Layer,21,69,1449,102,81,264,18,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Base Layers,Merino Trek Legging,18,79,1422,115,97,264,11,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Accessories,Summit Beanie,20,34,680,83,63,264,14,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Accessories,Trail Gloves,16,44,704,172,156,264,8,False
2025-01-02,S002,Seattle Trail Store,Pacific Northwest,Accessories,Insulated Bottle,28,29,812,85,57,264,18,False
2025-01-02,S003,Boston Winter Gear,Northeast,Jackets,Summit Waterproof Shell,19,329,6251,115,96,226,10,False
2025-01-02,S003,Boston Winter Gear,Northeast,Jackets,Alpine Down Parka,20,399,7980,164,144,226,13,True
2025-01-02,S003,Boston Winter Gear,Northeast,Jackets,Trail Rain Jacket,17,189,3213,110,93,226,9,False
2025-01-02,S003,Boston Winter Gear,Northeast,Fleece,Canyon Fleece Pullover,30,89,2670,132,102,226,15,False
2025-01-02,S003,Boston Winter Gear,Northeast,Fleece,Mountain Zip Hoodie,25,119,2975,112,87,226,15,False
2025-01-02,S003,Boston Winter Gear,Northeast,Backpacks,Boreal Daypack 28L,11,99,1089,88,77,226,6,False
2025-01-02,S003,Boston Winter Gear,Northeast,Backpacks,Expedition Duffel 60L,11,149,1639,154,143,226,6,False
2025-01-02,S003,Boston Winter Gear,Northeast,Footwear,Ridge Hiking Boot,12,159,1908,78,66,226,6,False
2025-01-02,S003,Boston Winter Gear,Northeast,Footwear,Trail Runner Shoe,17,129,2193,120,103,226,14,False
2025-01-02,S003,Boston Winter Gear,Northeast,Base Layers,Thermal Crew Base Layer,23,69,1587,114,91,226,16,False
2025-01-02,S003,Boston Winter Gear,Northeast,Base Layers,Merino Trek Legging,14,79,1106,97,83,226,6,False
2025-01-02,S003,Boston Winter Gear,Northeast,Accessories,Summit Beanie,35,34,1190,151,116,226,21,False
2025-01-02,S003,Boston Winter Gear,Northeast,Accessories,Trail Gloves,21,44,924,133,112,226,12,False
2025-01-02,S003,Boston Winter Gear,Northeast,Accessories,Insulated Bottle,28,29,812,36,8,226,12,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Jackets,Summit Waterproof Shell,8,329,2632,143,135,360,5,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Jackets,Alpine Down Parka,11,399,4389,153,142,360,9,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Jackets,Trail Rain Jacket,17,189,3213,151,134,360,13,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Fleece,Canyon Fleece Pullover,22,89,1958,178,156,360,12,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Fleece,Mountain Zip Hoodie,23,119,2737,164,141,360,14,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Backpacks,Boreal Daypack 28L,10,99,990,75,65,360,5,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Backpacks,Expedition Duffel 60L,6,149,894,98,92,360,2,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Footwear,Ridge Hiking Boot,11,159,1749,159,148,360,5,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Footwear,Trail Runner Shoe,8,129,1032,108,100,360,5,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Base Layers,Thermal Crew Base Layer,29,69,2001,55,26,360,22,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Base Layers,Merino Trek Legging,19,79,1501,89,70,360,16,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Accessories,Summit Beanie,24,34,816,141,117,360,20,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Accessories,Trail Gloves,19,44,836,40,21,360,8,False
2025-01-02,S004,Chicago Urban Outdoor,Midwest,Accessories,Insulated Bottle,18,29,522,36,18,360,8,False
2025-01-02,S005,San Francisco Summit,West Coast,Jackets,Summit Waterproof Shell,16,329,5264,142,126,268,9,False
2025-01-02,S005,San Francisco Summit,West Coast,Jackets,Alpine Down Parka,14,399,5586,91,77,268,8,False
2025-01-02,S005,San Francisco Summit,West Coast,Jackets,Trail Rain Jacket,16,189,3024,134,118,268,10,False
2025-01-02,S005,San Francisco Summit,West Coast,Fleece,Canyon Fleece Pullover,23,89,2047,77,54,268,10,False
2025-01-02,S005,San Francisco Summit,West Coast,Fleece,Mountain Zip Hoodie,29,119,3451,171,142,268,25,False
2025-01-02,S005,San Francisco Summit,West Coast,Backpacks,Boreal Daypack 28L,13,99,1287,41,28,268,10,False
2025-01-02,S005,San Francisco Summit,West Coast,Backpacks,Expedition Duffel 60L,11,149,1639,81,70,268,9,False
2025-01-02,S005,San Francisco Summit,West Coast,Footwear,Ridge Hiking Boot,9,159,1431,118,109,268,5,False
2025-01-02,S005,San Francisco Summit,West Coast,Footwear,Trail Runner Shoe,12,129,1548,142,130,268,8,False
2025-01-02,S005,San Francisco Summit,West Coast,Base Layers,Thermal Crew Base Layer,22,69,1518,173,151,268,18,True
2025-01-02,S005,San Francisco Summit,West Coast,Base Layers,Merino Trek Legging,16,79,1264,52,36,268,7,False
2025-01-02,S005,San Francisco Summit,West Coast,Accessories,Summit Beanie,32,34,1088,98,66,268,23,False
2025-01-02,S005,San Francisco Summit,West Coast,Accessories,Trail Gloves,23,44,1012,67,44,268,13,True
2025-01-02,S005,San Francisco Summit,West Coast,Accessories,Insulated Bottle,38,29,1102,154,116,268,19,True
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Jackets,Summit Waterproof Shell,16,329,5264,64,48,451,7,False
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Jackets,Alpine Down Parka,14,399,5586,41,27,451,6,True
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Jackets,Trail Rain Jacket,24,189,4536,131,107,451,15,False
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Fleece,Canyon Fleece Pullover,20,89,1780,97,77,451,16,False
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Fleece,Mountain Zip Hoodie,31,119,3689,65,34,451,15,False
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Backpacks,Boreal Daypack 28L,9,99,891,171,162,451,5,False
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Backpacks,Expedition Duffel 60L,10,149,1490,122,112,451,8,False
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Footwear,Ridge Hiking Boot,13,159,2067,145,132,451,5,False
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Footwear,Trail Runner Shoe,20,129,2580,74,54,451,12,False
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Base Layers,Thermal Crew Base Layer,40,69,2760,104,64,451,21,False
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Base Layers,Merino Trek Legging,27,79,2133,154,127,451,16,False
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Accessories,Summit Beanie,26,34,884,97,71,451,12,False
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Accessories,Trail Gloves,44,44,1936,97,53,451,21,True
2025-01-03,S001,Denver Outdoor Flagship,Mountain,Accessories,Insulated Bottle,29,29,841,121,92,451,25,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Jackets,Summit Waterproof Shell,13,329,4277,125,112,436,6,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Jackets,Alpine Down Parka,15,399,5985,105,90,436,8,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Jackets,Trail Rain Jacket,13,189,2457,96,83,436,6,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Fleece,Canyon Fleece Pullover,31,89,2759,156,125,436,16,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Fleece,Mountain Zip Hoodie,27,119,3213,58,31,436,18,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Backpacks,Boreal Daypack 28L,10,99,990,129,119,436,5,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Backpacks,Expedition Duffel 60L,9,149,1341,175,166,436,6,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Footwear,Ridge Hiking Boot,10,159,1590,99,89,436,7,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Footwear,Trail Runner Shoe,13,129,1677,172,159,436,5,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Base Layers,Thermal Crew Base Layer,22,69,1518,158,136,436,15,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Base Layers,Merino Trek Legging,24,79,1896,107,83,436,10,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Accessories,Summit Beanie,24,34,816,127,103,436,18,False
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Accessories,Trail Gloves,32,44,1408,105,73,436,27,True
2025-01-03,S002,Seattle Trail Store,Pacific Northwest,Accessories,Insulated Bottle,25,29,725,67,42,436,13,True
2025-01-03,S003,Boston Winter Gear,Northeast,Jackets,Summit Waterproof Shell,18,329,5922,107,89,427,10,False
2025-01-03,S003,Boston Winter Gear,Northeast,Jackets,Alpine Down Parka,10,399,3990,48,38,427,7,False
2025-01-03,S003,Boston Winter Gear,Northeast,Jackets,Trail Rain Jacket,13,189,2457,51,38,427,8,False
2025-01-03,S003,Boston Winter Gear,Northeast,Fleece,Canyon Fleece Pullover,37,89,3293,48,11,427,28,True
2025-01-03,S003,Boston Winter Gear,Northeast,Fleece,Mountain Zip Hoodie,31,119,3689,56,25,427,13,False
2025-01-03,S003,Boston Winter Gear,Northeast,Backpacks,Boreal Daypack 28L,20,99,1980,92,72,427,9,True
2025-01-03,S003,Boston Winter Gear,Northeast,Backpacks,Expedition Duffel 60L,13,149,1937,111,98,427,6,False
2025-01-03,S003,Boston Winter Gear,Northeast,Footwear,Ridge Hiking Boot,10,159,1590,50,40,427,5,False
2025-01-03,S003,Boston Winter Gear,Northeast,Footwear,Trail Runner Shoe,21,129,2709,88,67,427,11,False
2025-01-03,S003,Boston Winter Gear,Northeast,Base Layers,Thermal Crew Base Layer,20,69,1380,96,76,427,15,False
2025-01-03,S003,Boston Winter Gear,Northeast,Base Layers,Merino Trek Legging,17,79,1343,150,133,427,8,True
2025-01-03,S003,Boston Winter Gear,Northeast,Accessories,Summit Beanie,20,34,680,108,88,427,10,False
2025-01-03,S003,Boston Winter Gear,Northeast,Accessories,Trail Gloves,26,44,1144,94,68,427,11,False
2025-01-03,S003,Boston Winter Gear,Northeast,Accessories,Insulated Bottle,27,29,783,85,58,427,16,False
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Jackets,Summit Waterproof Shell,8,329,2632,103,95,287,3,False
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Jackets,Alpine Down Parka,9,399,3591,113,104,287,4,True
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Jackets,Trail Rain Jacket,18,189,3402,147,129,287,14,False
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Fleece,Canyon Fleece Pullover,24,89,2136,104,80,287,14,False
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Fleece,Mountain Zip Hoodie,13,119,1547,45,32,287,5,False
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Backpacks,Boreal Daypack 28L,11,99,1089,41,30,287,9,False
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Backpacks,Expedition Duffel 60L,10,149,1490,40,30,287,4,False
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Footwear,Ridge Hiking Boot,8,159,1272,45,37,287,3,False
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Footwear,Trail Runner Shoe,15,129,1935,148,133,287,6,True
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Base Layers,Thermal Crew Base Layer,24,69,1656,160,136,287,10,False
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Base Layers,Merino Trek Legging,16,79,1264,117,101,287,8,False
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Accessories,Summit Beanie,20,34,680,161,141,287,13,False
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Accessories,Trail Gloves,25,44,1100,175,150,287,21,False
2025-01-03,S004,Chicago Urban Outdoor,Midwest,Accessories,Insulated Bottle,20,29,580,64,44,287,8,True
2025-01-03,S005,San Francisco Summit,West Coast,Jackets,Summit Waterproof Shell,16,329,5264,35,19,297,8,False
2025-01-03,S005,San Francisco Summit,West Coast,Jackets,Alpine Down Parka,11,399,4389,83,72,297,6,False
2025-01-03,S005,San Francisco Summit,West Coast,Jackets,Trail Rain Jacket,16,189,3024,148,132,297,7,False
2025-01-03,S005,San Francisco Summit,West Coast,Fleece,Canyon Fleece Pullover,26,89,2314,108,82,297,15,False
2025-01-03,S005,San Francisco Summit,West Coast,Fleece,Mountain Zip Hoodie,16,119,1904,96,80,297,8,False
2025-01-03,S005,San Francisco Summit,West Coast,Backpacks,Boreal Daypack 28L,8,99,792,139,131,297,6,False
2025-01-03,S005,San Francisco Summit,West Coast,Backpacks,Expedition Duffel 60L,12,149,1788,153,141,297,5,False
2025-01-03,S005,San Francisco Summit,West Coast,Footwear,Ridge Hiking Boot,8,159,1272,109,101,297,4,False
2025-01-03,S005,San Francisco Summit,West Coast,Footwear,Trail Runner Shoe,18,129,2322,155,137,297,12,False
2025-01-03,S005,San Francisco Summit,West Coast,Base Layers,Thermal Crew Base Layer,24,69,1656,165,141,297,12,False
2025-01-03,S005,San Francisco Summit,West Coast,Base Layers,Merino Trek Legging,17,79,1343,141,124,297,11,True
2025-01-03,S005,San Francisco Summit,West Coast,Accessories,Summit Beanie,22,34,748,35,13,297,15,False
2025-01-03,S005,San Francisco Summit,West Coast,Accessories,Trail Gloves,26,44,1144,160,134,297,12,False
2025-01-03,S005,San Francisco Summit,West Coast,Accessories,Insulated Bottle,22,29,638,120,98,297,12,False
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Jackets,Summit Waterproof Shell,20,329,6580,83,63,478,8,False
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Jackets,Alpine Down Parka,12,399,4788,140,128,478,10,False
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Jackets,Trail Rain Jacket,21,189,3969,132,111,478,13,False
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Fleece,Canyon Fleece Pullover,35,89,3115,73,38,478,20,False
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Fleece,Mountain Zip Hoodie,31,119,3689,119,88,478,14,True
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Backpacks,Boreal Daypack 28L,13,99,1287,169,156,478,5,False
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Backpacks,Expedition Duffel 60L,10,149,1490,74,64,478,8,True
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Footwear,Ridge Hiking Boot,11,159,1749,136,125,478,5,False
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Footwear,Trail Runner Shoe,20,129,2580,171,151,478,12,False
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Base Layers,Thermal Crew Base Layer,35,69,2415,159,124,478,16,False
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Base Layers,Merino Trek Legging,20,79,1580,108,88,478,8,True
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Accessories,Summit Beanie,29,34,986,60,31,478,14,False
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Accessories,Trail Gloves,20,44,880,77,57,478,10,False
2025-01-04,S001,Denver Outdoor Flagship,Mountain,Accessories,Insulated Bottle,18,29,522,49,31,478,12,False
2025-01-04,S002,Seattle Trail Store,Pacific Northwest,Jackets,Summit Waterproof Shell,11,329,3619,140,129,378,6,False
2025-01-04,S002,Seattle Trail Store,Pacific Northwest,Jackets,Alpine Down Parka,9,399,3591,55,46,378,4,False
2025-01-04,S002,Seattle Trail Store,Pacific Northwest,Jackets,Trail Rain Jacket,19,189,3591,162,143,378,8,False
2025-01-04,S002,Seattle Trail Store,Pacific Northwest,Fleece,Canyon Fleece Pullover,32,89,2848,100,68,378,19,True
2025-01-04,S002,Seattle Trail Store,Pacific Northwest,Fleece,Mountain Zip Hoodie,29,119,3451,154,125,378,13,False
2025-01-04,S002,Seattle Trail Store,Pacific Northwest,Backpacks,Boreal Daypack 28L,10,99,990,148,138,378,4,False
